age,gender,gaming_hours,study_hours,sleep_hours,attendance,social_activity,device_usage,uso_no_gaming,stress_level,gaming_cat,grades,grades_original,flag_grades_gt100,flag_ajustado
22,Male,7.23,8.78,6.96,91.44,3.25,9.36,2.13,Low,Alto,86.46,86.45955466333767,False,True
19,Male,0.07,8.72,7.63,63.63,1.02,3.21,3.14,Medium,Bajo,98.23,98.23,False,False
23,Female,1.73,9.56,4.4,83.26,3.46,5.56,3.83,High,Bajo,90.56,90.56,False,False
20,Female,6.62,1.68,7.83,75.04,1.46,11.78,5.16,Low,Alto,32.67,32.67,False,False
22,Female,5.36,5.83,5.55,65.57,1.01,8.23,2.87,Low,Medio,58.71,58.71,False,False
18,Male,7.16,6.84,8.03,68.11,3.74,10.9,3.74,Low,Alto,57.52,57.52,False,False
22,Female,0.46,7.4,6.55,91.25,1.81,2.86,2.4,Medium,Bajo,94.0,94.0,False,False
23,Female,4.78,6.79,5.37,66.46,2.85,9.96,5.18,Medium,Medio,62.11,62.11,False,False
20,Female,4.55,7.93,8.76,72.5,1.0,9.48,4.93,Medium,Medio,80.94,80.94,False,False
19,Male,0.29,4.24,7.83,71.39,3.07,5.39,5.1,Medium,Bajo,82.35,82.34923549620179,False,True
23,Female,4.11,2.61,8.93,61.95,1.04,5.4,1.29,Medium,Medio,52.31,52.31,False,False
23,Female,4.88,2.84,5.82,78.49,0.83,8.31,3.43,Medium,Medio,42.02,42.02,False,False
18,Male,1.53,1.11,7.25,90.64,1.93,3.21,1.68,Medium,Bajo,63.05,63.05,False,False
21,Female,2.19,4.15,7.06,60.89,3.95,6.56,4.37,Medium,Bajo,73.28,73.28,False,False
20,Male,5.12,1.83,7.44,64.5,0.88,7.68,2.56,Low,Medio,37.13,37.13,False,False
17,Male,3.75,3.89,4.19,88.81,0.59,8.62,4.87,Medium,Medio,57.02,57.02,False,False
23,Male,6.86,6.65,5.46,83.74,0.16,8.19,1.33,Low,Alto,62.09,62.09,False,False
21,Female,2.74,9.05,8.55,88.61,2.08,6.31,3.57,Medium,Bajo,100.0,100.0,False,False
17,Male,2.13,8.56,6.12,69.2,1.41,3.75,1.62,Medium,Bajo,91.13,91.13,False,False
20,Male,7.88,3.27,8.8,92.15,1.46,11.67,3.79,Low,Alto,42.31,42.31,False,False
16,Female,7.29,2.21,5.07,79.19,4.91,11.33,4.04,Low,Alto,18.54,18.54,False,False
21,Male,0.23,2.74,8.99,84.41,0.97,3.54,3.31,Medium,Bajo,76.12,76.12,False,False
