n_paso,paso,columna,revision_o_problema,registros_afectados,decision,fundamento,filas_despues
3.1,Revisiones previas,student_id,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,age,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,gender,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,gaming_hours,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,study_hours,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,sleep_hours,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,attendance,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,gaming_genre,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,social_activity,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,device_usage,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,reaction_time_ms,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,addiction_score,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,stress_level,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,grades,Valores faltantes,0,No imputar,Se conservan las filas y se documentan los faltantes.,8000
3.1,Revisiones previas,todas,Filas duplicadas completas,0,No eliminar filas,La consigna exige conservar las 8000 filas.,8000
3.1,Revisiones previas,todas excepto student_id,Filas duplicadas ignorando student_id,0,No eliminar filas,La revisión informa calidad sin alterar el dataset.,8000
3.1,Revisiones previas,student_id,"Unicidad: notnull, nunique y is_unique",0,Conservar para revisar y descartar después,notnull=8000; nunique=8000; is_unique=True.,8000
3.1,Revisiones previas,nombres de columnas,Nombres de columna duplicados,0,No modificar,Los nombres deben ser únicos.,8000
3.1,Revisiones previas,columnas,Columnas con contenido idéntico,0,No modificar,Se evita conservar información repetida sin cambiar el original.,8000
3.1,Revisiones previas,gender,"Categorías, espacios sobrantes y variantes de mayúsculas",0,"Valores únicos: ['Female', 'Male', 'Other']",Se documentan las categorías antes de normalizar tipos.,8000
3.1,Revisiones previas,gaming_genre,"Categorías, espacios sobrantes y variantes de mayúsculas",0,"Valores únicos: ['Casual', 'FPS', 'RPG']",Se documentan las categorías antes de normalizar tipos.,8000
3.1,Revisiones previas,stress_level,"Categorías, espacios sobrantes y variantes de mayúsculas",0,"Valores únicos: ['High', 'Low', 'Medium']",Se documentan las categorías antes de normalizar tipos.,8000
3.1,Revisiones previas,student_id,Rango y atípicos por regla 1.5*IQR,0,mín=1; máx=8000,Se informa el rango y no se eliminan atípicos.,8000
3.1,Revisiones previas,age,Rango y atípicos por regla 1.5*IQR,0,mín=16; máx=24,Se informa el rango y no se eliminan atípicos.,8000
3.1,Revisiones previas,gaming_hours,Rango y atípicos por regla 1.5*IQR,0,mín=0.0; máx=8.0,Se informa el rango y no se eliminan atípicos.,8000
3.1,Revisiones previas,study_hours,Rango y atípicos por regla 1.5*IQR,0,mín=1.0; máx=10.0,Se informa el rango y no se eliminan atípicos.,8000
